,query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id,name_match,grade
8558,telescope,2595102,10,2.0,47,2595102,fake,3082,9.022318,0.0
7035,laptop,9755322,91,5.0,2126,9755322,fake,2513,0.0,0.0
4897,antenna,8408476,13,10.0,450,8408476,fake,1779,10.884909,0.0
503,Beats by dr. Dre,9836718,16,1.0,109,9836718,fake,202,18.450184,0.0
4821,acer iconia,2759288,58,2.0,350,2759288,fake,1751,11.695964,0.0
7987,refrigerator,9830623,32,1.0,283,9830623,fake,2877,3.660182,0.0
3083,Playstation 3,2013927,10,8.0,741,2013927,fake,1157,8.317662,0.0
8863,usb car charger,9347968,12,1.0,32,9347968,fake,3192,5.2583694,0.0
3125,Portable dvd player,2346039,10,1.0,111,2346039,fake,1169,13.233649,0.0
1196,Drake,9503995,16,2.0,123,9503995,fake,457,0.0,0.0
2133,Just dance,1550158,35,1.0,95,1550158,fake,808,9.08979,0.0
457,Beats,1232483,66,13.0,2781,1232483,fake,198,0.0,0.0
5755,dvd player,2346039,16,4.0,377,2346039,fake,2093,7.259301,0.0
8249,skullcandy titan,9825242,11,1.0,20,9825242,fake,2982,14.018147,0.0
9188,xbox 360 console,9911636,30,7.0,616,9911636,fake,3294,0.0,0.0
2496,Mac book,1535918,29,5.0,590,1535918,fake,908,0.0,0.0
8418,staind,3301644,35,2.0,134,3301644,fake,3037,14.923019,0.0
7357,mini fridge,1931487,16,4.0,166,1931487,fake,2625,0.0,0.0
4716,Xbox 360 controller,2985153,18,3.0,168,2985153,fake,1709,13.65493,0.0
8929,voice recorder,1792142,28,3.0,220,1792142,fake,3220,12.36159,0.0
7466,netbook,2660188,10,10.0,603,2660188,fake,2674,0.0,0.0
4070,The game,9616458,77,1.0,118,9616458,fake,1493,0.0,0.5
1875,Hp touchpad,2884085,69,5.0,7176,2884085,fake,707,15.832562,0.0
2235,Klipsch,9385747,15,6.0,313,9385747,fake,833,5.5795145,0.0
3927,Star wars bluray,2550164,87,1.0,122,2550164,fake,1439,6.423506,0.5
1086,Dell laptop,2670837,11,8.0,387,2670837,fake,409,0.0,0.0
5744,dvd burners,9262479,13,1.0,86,9262479,fake,2090,1.345684,0.0
1446,Galaxy tab 10.1,2817743,18,2.0,107,2817743,fake,558,21.740044,0.0
7400,monitor,1422209,62,1.0,288,1422209,fake,2636,4.78175,0.0
2677,Mini fridge,2678348,37,1.0,160,2678348,fake,971,0.0,0.0
8104,samsung galaxy tab,2817582,136,1.0,479,2817582,fake,2921,19.563217,0.5
2460,Logitech revue,1257136,124,1.0,153,1257136,fake,900,18.59342,0.75
1532,GoPro,1004722,12,1.0,37,1004722,fake,595,7.2161665,0.0
6148,hard drive,9024147,10,6.0,304,9024147,fake,2254,7.3960342,0.0
2877,Nikon d7000,1230707,97,1.0,193,1230707,fake,1062,12.283967,0.5
37,2622037 2127204 2127213 2121716 2138291,2135081,14,22.0,3248,2135081,fake,15,0.0,0.0
7126,lenovo,3504409,21,6.0,449,3504409,fake,2536,4.10723,0.0
4096,Thor,2542299,23,5.0,1770,2542299,fake,1509,10.444792,0.0
2906,Nirvana,3511215,169,1.0,310,3511215,fake,1077,0.0,0.75
6927,killzone 3,1028986,14,1.0,20,1028986,fake,2488,18.166214,0.0
7146,lil Wayne,3232178,31,2.0,90,3232178,fake,2547,0.0,0.0
1999,Inverter,9890447,18,1.0,97,9890447,fake,759,9.012256,0.0
8382,space marine,2742048,15,1.0,30,2742048,fake,3023,14.413094,0.0
5191,bluetooth headsets,9246862,10,1.0,90,9246862,fake,1866,5.1277266,0.0
6925,kicker,9892921,45,1.0,302,9892921,fake,2487,6.4308167,0.0
3160,Primus,3276526,31,1.0,45,3276526,fake,1184,0.0,0.0
3347,Red hot chili peppers,6071074,15,2.0,216,6071074,fake,1233,0.0,0.0
6421,iMac,2658101,61,3.0,524,2658101,fake,2344,7.2240524,0.0
8909,viper,9516348,24,1.0,184,9516348,fake,3215,0.0,0.0
4249,Trivium,2962138,18,1.0,33,2962138,fake,1565,0.0,0.0
5808,earphones,8964864,19,2.0,158,8964864,fake,2112,0.0,0.0
8168,sd card,2731247,21,2.0,273,2731247,fake,2948,4.170499,0.0
7684,pirates,1980691,10,1.0,83,1980691,fake,2780,6.364275,0.0
3203,Projector,9533926,49,5.0,1028,9533926,fake,1188,0.0,0.0
9018,white knight chronicles,2846061,18,1.0,22,2846061,fake,3249,18.516294,0.0
5426,casio exilim,2449141,19,1.0,58,2449141,fake,1948,15.302499,0.0
1217,Driver,1092403,52,1.0,74,1092403,fake,461,9.028298,0.0
5020,avatar,1283713,10,2.0,113,1283713,fake,1817,9.7380295,0.0
2044,Ipad2,2319133,14,9.0,830,2319133,fake,764,0.0,0.0
9184,xbox 360 console,1862575,10,11.0,616,1862575,fake,3294,0.0,0.0
8133,samsung tablet,2817582,74,1.0,277,2817582,fake,2934,5.1460795,0.5
6015,gameshark,9394265,14,1.0,49,9394265,fake,2204,0.0,0.0
8737,transformers blu ray,3247045,36,1.0,48,3247045,fake,3146,15.878416,0.0
1860,Hp tablets,2842092,42,2.0,127,2842092,fake,704,0.0,0.0
8924,visio,1067417,12,2.0,74,1067417,fake,3218,0.0,0.0
1054,Dell,1648231,23,7.0,728,1648231,fake,405,0.0,0.0
6161,harmony,9837565,14,2.0,118,9837565,fake,2259,6.6914606,0.0
7437,mouse pad,1154121,25,1.0,84,1154121,fake,2653,0.0,0.0
8198,sharp,2380145,34,2.0,239,2380145,fake,2963,5.494752,0.0
8574,the bigs,1429284,16,2.0,71,1429284,fake,3091,0.0,0.0
2918,Nook color,2506119,11,2.0,192,2506119,fake,1082,0.0,0.0
7764,portable dvd players,1486345,13,3.0,163,1486345,fake,2806,11.516937,0.0
3682,Sling,8548832,16,1.0,43,8548832,fake,1353,10.466577,0.0
1023,DVD player,9905608,16,4.0,316,9905608,fake,386,7.8439064,0.0
6006,gameboy,1034769,12,1.0,55,1034769,fake,2201,0.0,0.0
2269,Laptop,1853531,79,8.0,2710,1853531,fake,848,0.0,0.0
3587,Screen protector,1230537,10,1.0,45,1230537,fake,1319,0.0,0.0
3154,Powermat,1201262,20,1.0,69,1201262,fake,1181,7.600754,0.0
2692,Modem,2836657,193,1.0,777,2836657,fake,976,7.4858656,0.75
3922,Star wars blu-ray,2550164,51,1.0,76,2550164,fake,1437,14.815033,0.0
2322,Laptop hard drive,9172799,28,1.0,91,9172799,fake,857,11.170881,0.0
7739,pokemon,1701197,10,1.0,100,1701197,fake,2799,0.0,0.0
9088,wireless headphones,9040076,41,3.0,342,9040076,fake,3273,10.582481,0.0
69,2622037 2127204 2127213 2121716 2138291,9755322,21,15.0,3248,9755322,fake,15,0.0,0.0
2326,Laptop power supply,9420361,13,1.0,27,9420361,fake,861,8.050637,0.0
4398,Vacuum,9497699,19,2.0,147,9497699,fake,1613,5.848093,0.0
232,Alienware,2817246,63,3.0,343,2817246,fake,112,6.7965527,0.0
7301,michael buble,16579043,15,2.0,71,16579043,fake,2603,0.0,0.0
3831,Sony vaio laptop,2925714,17,1.0,75,2925714,fake,1403,9.100678,0.0
8654,top gun,2466342,21,1.0,35,2466342,fake,3127,10.059658,0.0
4075,The lion king,2863978,94,2.0,296,2863978,fake,1496,13.198385,0.5
5542,ddr2,9359963,23,2.0,96,9359963,fake,2005,5.9193954,0.0
6302,hp laptop,2660188,28,3.0,487,2660188,fake,2302,6.3623476,0.0
2981,Otterbox,2193884,21,7.0,665,2193884,fake,1106,5.222966,0.0
1995,Internal hard drive,9172799,14,3.0,132,9172799,fake,757,12.081963,0.0
7186,logitech revue,1331156,10,3.0,173,1331156,fake,2559,0.0,0.0
3010,Pandigital,3016127,53,1.0,82,3016127,fake,1117,11.063634,0.0
3490,Samsung galaxy,2817743,29,4.0,439,2817743,fake,1279,11.77169,0.0
1011,D7000,1230707,65,1.0,142,1230707,fake,384,7.412636,0.5
7145,lil Wayne,3143996,13,3.0,90,3143996,fake,2547,0.0,0.0
2733,Mophie,1776227,43,1.0,160,1776227,fake,989,7.600754,0.0
50,2622037 2127204 2127213 2121716 2138291,2678499,10,26.0,3248,2678499,fake,15,0.0,0.0
6286,hp,2678499,14,7.0,821,2678499,fake,2297,2.8761578,0.0
4475,Watch,2074092,10,2.0,51,2074092,fake,1636,0.0,0.0
4748,Xbox live,1272483,31,4.0,285,1272483,fake,1721,8.0171,0.0
4002,Tablet,2512059,27,9.0,1249,2512059,fake,1470,6.236845,0.0
3311,Razer,2596769,21,1.0,242,2596769,fake,1222,7.586097,0.0
4565,Windows 7,1303162,141,1.0,544,1303162,fake,1671,11.34529,0.5
7320,microphone,8427188,14,1.0,209,8427188,fake,2609,8.142116,0.0
4224,Transformers dark of the moon,2248408,14,3.0,367,2248408,fake,1556,18.839762,0.0
2610,Madden 2012,2375201,109,1.0,140,2375201,fake,941,9.190647,0.5
3612,Sharp aquos,2009333,21,1.0,102,2009333,fake,1331,13.852618,0.0
6762,ipad 2,1918265,20,6.0,1020,1918265,fake,2427,6.7450576,0.0
913,Carter,3232178,14,1.0,36,3232178,fake,335,6.9486876,0.0
2963,Otter box,2193784,64,1.0,510,2193784,fake,1105,0.0,0.0
4175,Toshiba tablet,2769576,27,1.0,48,2769576,fake,1539,11.649017,0.0
5275,bruno mars,1257093,13,1.0,22,1257093,fake,1896,0.0,0.0
2819,Netgear n600,1208844,23,1.0,35,1208844,fake,1031,6.0124693,0.0
4618,Wireless router,1208844,65,4.0,1032,1208844,fake,1689,9.796352,0.0
2155,Kegerator,8998481,19,1.0,67,8998481,fake,817,0.0,0.0
4033,Tablets,2971069,14,11.0,1026,2971069,fake,1473,0.0,0.0
3979,Supernatural season 6,3088323,32,2.0,122,3088323,fake,1462,15.105789,0.0
2548,MacBook air,1534115,181,2.0,858,1534115,fake,923,0.0,0.5
8551,tablets,8856865,51,6.0,1400,8856865,fake,3078,0.0,0.0
5413,carrie underwood,1241199,15,1.0,75,1241199,fake,1942,16.829779,0.0
3500,Samsung galaxy tab,2775261,14,6.0,420,2775261,fake,1285,21.021261,0.0
2245,Kung Fu panda 2,2992174,11,2.0,28,2992174,fake,839,26.035751,0.0
3013,Parks and recreation,3142148,26,1.0,40,3142148,fake,1120,13.227779,0.0
4399,Vacuum,9840425,23,1.0,147,9840425,fake,1613,5.848093,0.0
8577,the carter 4,3143987,87,1.0,183,3143987,fake,3092,7.4306517,0.5
1331,External hard drive,9420325,14,13.0,681,9420325,fake,507,0.0,0.0
6264,high school musical,8422799,10,1.0,67,8422799,fake,2288,16.415924,0.0
3517,Samsung laptop,2372452,10,6.0,256,2372452,fake,1289,7.803273,0.0
8666,toshiba,2833814,23,2.0,486,2833814,fake,3128,3.282858,0.0
1141,Digital camera,2049039,15,2.0,249,2049039,fake,431,7.8901067,0.0
1574,Gps,9953155,23,10.0,1089,9953155,fake,607,8.269896,0.0
6539,iPhone 4 case,2070102,11,10.0,604,2070102,fake,2366,8.7970085,0.0
8632,thrive,2925101,20,3.0,326,2925101,fake,3118,9.061212,0.0
6231,headphones,8241422,15,12.0,1131,8241422,fake,2278,0.0,0.0
4932,apple computer,9755322,16,1.0,52,9755322,fake,1786,2.6581287,0.0
6759,ipad 1,1945531,10,1.0,41,1945531,fake,2426,5.2322006,0.0
5793,dynex,2620821,30,1.0,214,2620821,fake,2106,5.969898,0.0
3383,Rescue me,9929459,13,2.0,103,9929459,fake,1244,10.430776,0.0
6953,king of queens,6976187,17,1.0,84,6976187,fake,2492,10.767488,0.0
1481,Gateway,2930088,60,2.0,335,2930088,fake,573,3.4457474,0.0
292,Apple,2658068,11,18.0,1638,2658068,fake,129,3.0138502,0.0
3049,Pioneer,9846526,14,6.0,349,9846526,fake,1139,5.1981134,0.0
5707,droid x2,3003927,14,1.0,41,3003927,fake,2071,13.788059,0.0
9085,wireless headphones,8241422,47,2.0,342,8241422,fake,3273,10.582481,0.0
5405,car stereos,1149887,16,2.0,219,1149887,fake,1940,0.0,0.0
7778,portable tv,1551014,12,1.0,150,1551014,fake,2810,10.268581,0.0
1897,Htc flyer,2390524,169,1.0,271,2390524,fake,717,14.953774,0.75
2038,Ipad2,1918159,18,7.0,830,1918159,fake,764,0.0,0.0
7244,macbook,9944942,27,10.0,891,9944942,fake,2574,3.8105717,0.0
2748,Motorola surfboard,2836657,16,1.0,44,2836657,fake,997,14.750429,0.0
5595,desktop computers,2658077,10,1.0,114,2658077,fake,2022,0.0,0.0
2665,Microwave,6963869,33,3.0,363,6963869,fake,967,5.3972807,0.0
7129,lenses,9259107,12,1.0,61,9259107,fake,2538,0.0,0.0
1184,Dr dre beats,9492426,43,2.0,313,9492426,fake,452,20.60225,0.0
4681,Xbox 360,1419083,35,6.0,1002,1419083,fake,1704,0.0,0.0
1360,Fast five,3142157,40,4.0,533,3142157,fake,521,14.54974,0.0
7551,nirvana,3511057,31,2.0,149,3511057,fake,2708,8.793466,0.0
1862,Hp touch,2842056,174,1.0,326,2842056,fake,705,5.448473,0.75
8493,surge protectors,9812502,12,1.0,93,9812502,fake,3066,14.940935,0.0
5648,directv,8462184,12,3.0,80,8462184,fake,2044,11.777804,0.0
1600,HP Tablet,2842092,11,2.0,35,2842092,fake,624,0.0,0.0
