,query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id,name_match,grade
8372,sound cards,1173369,13,2.0,76,1173369,fake,3020,9.032271,0.0
6461,iPad 2,1945674,67,4.0,1600,1945674,fake,2347,0.0,0.0
835,Canon flash,8968334,14,1.0,52,8968334,fake,309,10.350505,0.0
3372,Remote start,9347815,21,4.0,192,9347815,fake,1240,0.0,0.0
569,Blackberry,2265381,48,1.0,384,2265381,fake,221,7.975333,0.0
1542,Google TV,1257136,11,1.0,25,1257136,fake,602,17.757854,0.0
3010,Pandigital,3016127,53,1.0,82,3016127,fake,1117,11.063634,0.0
7717,playstation 3,1903166,18,6.0,543,1903166,fake,2792,0.0,0.0
4881,android tablet,2512059,15,3.0,231,2512059,fake,1775,6.236845,0.0
8310,sony headphones,2204196,21,2.0,194,2204196,fake,3001,11.909876,0.0
2183,Kicker,1671417,11,6.0,374,1671417,fake,823,5.437253,0.0
3285,Quickbooks,1245699,16,1.0,50,1245699,fake,1211,9.872523,0.0
8798,tv,2620821,27,3.0,1062,2620821,fake,3168,0.0,0.0
5043,battery backup,9307788,18,1.0,131,9307788,fake,1830,0.0,0.0
7460,ncis,2965117,33,1.0,88,2965117,fake,2670,7.3340855,0.0
8586,the league,1196056,10,2.0,26,1196056,fake,3097,5.3315973,0.0
137,3d movies,2068098,12,1.0,147,2068098,fake,61,7.4099107,0.0
8863,usb car charger,9347968,12,1.0,32,9347968,fake,3192,5.2583694,0.0
3821,Sony vaio,2822266,12,12.0,764,2822266,fake,1402,6.36543,0.0
8642,tivo,9745228,26,3.0,333,9745228,fake,3122,7.7808123,0.0
4809,acer,2512059,50,2.0,390,2512059,fake,1747,6.3180466,0.0
3160,Primus,3276526,31,1.0,45,3276526,fake,1184,0.0,0.0
5212,boombox,7022839,13,2.0,156,7022839,fake,1877,7.2110186,0.0
1864,Hp touch pad,2842056,619,1.0,1020,2842056,fake,706,5.448473,1.0
7615,outdoor speaker,7682769,28,1.0,105,7682769,fake,2742,10.450183,0.0
8744,treo,1418612,31,1.0,68,1418612,fake,3152,8.11079,0.0
3505,Samsung galaxy tab,2817743,36,3.0,420,2817743,fake,1285,19.563217,0.0
9151,x men first class,3209231,128,1.0,186,3209231,fake,3289,16.346981,0.75
662,Boombox,2236052,12,3.0,118,2236052,fake,253,9.737335,0.0
7062,laptops,2560082,56,8.0,2063,2560082,fake,2526,0.0,0.0
