query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id
*,3128989,27,1.0,401,3128989,fake,2
*,3354745,11,4.0,401,3354745,fake,2
*,3355547,17,3.0,401,3355547,fake,2
*,3379037,26,2.0,401,3379037,fake,2
*,3397163,26,2.0,401,3397163,fake,2
1080p,1004722,15,1.0,86,1004722,fake,3
1196499,1196499,141,1.0,186,1196499,fake,4
1196523,1196523,133,1.0,178,1196523,fake,5
1196578,1196578,135,1.0,169,1196578,fake,6
1196596,1196596,138,1.0,187,1196596,fake,7
1196602,1196602,129,1.0,166,1196602,fake,8
1196648,1196648,145,1.0,182,1196648,fake,9
1219686,1219686,15,1.0,21,1219686,fake,10
1404497 1416723 1416778 1416678,1404497,15,2.0,64,1404497,fake,11
1404497 1416723 1416778 1416678,1416723,17,1.0,64,1416723,fake,11
1404497 1416723 1416778 1416678,1416778,11,3.0,64,1416778,fake,11
1450lmt,1089764,26,1.0,27,1089764,fake,12
19 tv,1854221,16,1.0,42,1854221,fake,13
2009281,2009281,20,1.0,21,2009281,fake,14
2622037 2127204 2127213 2121716 2138291,1647223,16,20.0,3248,1647223,fake,15
2622037 2127204 2127213 2121716 2138291,1831054,30,10.0,3248,1831054,fake,15
2622037 2127204 2127213 2121716 2138291,1853531,16,20.0,3248,1853531,fake,15
2622037 2127204 2127213 2121716 2138291,1854249,25,12.0,3248,1854249,fake,15
2622037 2127204 2127213 2121716 2138291,1854819,34,9.0,3248,1854819,fake,15
2622037 2127204 2127213 2121716 2138291,1945531,14,22.0,3248,1945531,fake,15
2622037 2127204 2127213 2121716 2138291,1945595,10,26.0,3248,1945595,fake,15
2622037 2127204 2127213 2121716 2138291,2009148,12,24.0,3248,2009148,fake,15
2622037 2127204 2127213 2121716 2138291,2009281,16,20.0,3248,2009281,fake,15
2622037 2127204 2127213 2121716 2138291,2047508,12,24.0,3248,2047508,fake,15
2622037 2127204 2127213 2121716 2138291,2047526,14,22.0,3248,2047526,fake,15
2622037 2127204 2127213 2121716 2138291,2121716,109,5.0,3248,2121716,fake,15
2622037 2127204 2127213 2121716 2138291,2125233,14,22.0,3248,2125233,fake,15
2622037 2127204 2127213 2121716 2138291,2127204,128,4.0,3248,2127204,fake,15
2622037 2127204 2127213 2121716 2138291,2127213,162,3.0,3248,2127213,fake,15
2622037 2127204 2127213 2121716 2138291,2127443,24,13.0,3248,2127443,fake,15
2622037 2127204 2127213 2121716 2138291,2127504,36,7.0,3248,2127504,fake,15
2622037 2127204 2127213 2121716 2138291,2128276,17,19.0,3248,2128276,fake,15
