query,sku,rank_ht,type_ht,found_ht,new_ht,score_ht,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
USB to hdmi converter,2731344,122,hand_tuned,True,False,0.010632615,209,ltr_hand_tuned,True,False,0.76515156
iPod touch,3109302,1,hand_tuned,True,False,2502.0288,3,ltr_hand_tuned,True,False,1.3701575
iPod touch,1207936,6,hand_tuned,True,False,915.89,403,ltr_hand_tuned,True,False,0.7102725
iPod touch,3458419,7,hand_tuned,True,False,838.9059,139,ltr_hand_tuned,True,False,0.847387
iPod touch,2237282,8,hand_tuned,True,False,545.3353,248,ltr_hand_tuned,True,False,0.7717667
iPod touch,3458437,9,hand_tuned,True,False,448.4947,196,ltr_hand_tuned,True,False,0.81617844
iPod touch,8967166,10,hand_tuned,True,False,401.57065,304,ltr_hand_tuned,True,False,0.7399627
iPod touch,3460035,12,hand_tuned,True,False,255.24377,499,ltr_hand_tuned,True,False,0.5884292
iPod touch,2670081,14,hand_tuned,True,False,121.442894,218,ltr_hand_tuned,True,False,0.7988268
iPod touch,3459394,23,hand_tuned,True,False,38.188053,207,ltr_hand_tuned,True,False,0.80860054
iPod touch,3441058,54,hand_tuned,True,False,1.8588634,157,ltr_hand_tuned,True,False,0.83349
iPod touch,1207432,59,hand_tuned,True,False,1.2605122,227,ltr_hand_tuned,True,False,0.7874714
iPod touch,1207881,62,hand_tuned,True,False,1.1141902,252,ltr_hand_tuned,True,False,0.76633877
iPod touch,1207257,73,hand_tuned,True,False,0.34937605,404,ltr_hand_tuned,True,False,0.7102725
iPod touch,1658265,108,hand_tuned,True,False,0.11326636,222,ltr_hand_tuned,True,False,0.7882971
iPod touch,3559541,142,hand_tuned,True,False,0.11326574,417,ltr_hand_tuned,True,False,0.69833213
iPod touch,1404106,153,hand_tuned,True,False,0.11326574,463,ltr_hand_tuned,True,False,0.69833213
iPod touch,1377123,184,hand_tuned,True,False,0.10718347,247,ltr_hand_tuned,True,False,0.77465534
iPod touch,1328189,204,hand_tuned,True,False,0.107183084,307,ltr_hand_tuned,True,False,0.7351945
iPod touch,1328383,207,hand_tuned,True,False,0.10718297,398,ltr_hand_tuned,True,False,0.7200053
iPod touch,9899706,212,hand_tuned,True,False,0.10718297,366,ltr_hand_tuned,True,False,0.7228852
smallville,13863562,1,hand_tuned,True,False,0.0832569,11,ltr_hand_tuned,True,False,0.88742304
smallville,7504701,4,hand_tuned,True,False,0.05695212,9,ltr_hand_tuned,True,False,0.9025547
smallville,5319078,10,hand_tuned,True,False,0.053568505,26,ltr_hand_tuned,True,False,0.84224623
smallville,3224054,11,hand_tuned,True,False,0.053565606,27,ltr_hand_tuned,True,False,0.84224623
smallville,8955473,17,hand_tuned,True,False,0.05056248,18,ltr_hand_tuned,True,False,0.8687367
zonealarm,3140362,19,hand_tuned,True,False,0.0029004242,23,ltr_hand_tuned,True,False,0.79692453
zonealarm,1256446,26,hand_tuned,True,False,3.7e-06,31,ltr_hand_tuned,True,False,0.7557279
zonealarm,9506652,27,hand_tuned,True,False,1.8999999e-06,32,ltr_hand_tuned,True,False,0.71666735
wi,1945531,1,hand_tuned,True,False,994.33136,5,ltr_hand_tuned,True,False,1.1151695
wi,2339322,2,hand_tuned,True,False,950.73157,95,ltr_hand_tuned,True,False,0.86660314
wi,2329467,23,hand_tuned,True,False,200.99452,34,ltr_hand_tuned,True,False,0.963182
dvd case,7506326,5,hand_tuned,True,False,6.5129557,42,ltr_hand_tuned,True,False,0.80336857
dvd case,1791231,107,hand_tuned,True,False,0.021465946,303,ltr_hand_tuned,True,False,0.7441004
dvd case,9216742,108,hand_tuned,True,False,0.021328123,371,ltr_hand_tuned,True,False,0.73134077
dvd case,7876738,375,hand_tuned,True,False,0.002883724,384,ltr_hand_tuned,True,False,0.73134077
dragonball z,8776434,13,hand_tuned,True,False,0.079066895,156,ltr_hand_tuned,True,False,0.88742304
dragonball z,6002434,15,hand_tuned,True,False,0.07466462,123,ltr_hand_tuned,True,False,0.88742304
dragonball z,6002416,17,hand_tuned,True,False,0.07466322,122,ltr_hand_tuned,True,False,0.88742304
dragonball z,6758895,37,hand_tuned,True,False,0.06711024,318,ltr_hand_tuned,True,False,0.82667446
dragonball z,9308055,141,hand_tuned,True,False,0.055007685,299,ltr_hand_tuned,True,False,0.8843493
dragonball z,9160962,228,hand_tuned,True,False,0.05128409,301,ltr_hand_tuned,True,False,0.8843493
lcd tv,2893174,12,hand_tuned,True,False,0.60003006,139,ltr_hand_tuned,True,False,0.8674004
ac,8881695,10,hand_tuned,True,False,349.17368,35,ltr_hand_tuned,True,False,0.83615243
ac,9812309,20,hand_tuned,True,False,225.66379,281,ltr_hand_tuned,True,False,0.7661542
ac,9463163,66,hand_tuned,True,False,11.517194,463,ltr_hand_tuned,True,False,0.7238247
