query,sku,rank_ht,type_ht,found_ht,new_ht,score_ht,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
iPod touch,9225377,2,hand_tuned,True,False,2338.7659,1,ltr_hand_tuned,True,False,1.3846614
iPod touch,9225411,3,hand_tuned,True,False,1677.7427,2,ltr_hand_tuned,True,False,1.3846614
iPod touch,9225439,49,hand_tuned,True,False,3.0887716,9,ltr_hand_tuned,True,False,1.1606631
iPod touch,8771885,369,hand_tuned,True,False,0.096800774,10,ltr_hand_tuned,True,False,1.11072
iPod touch,8771732,379,hand_tuned,True,False,0.096799776,5,ltr_hand_tuned,True,False,1.2769927
smallville,3224045,15,hand_tuned,True,False,0.050574876,3,ltr_hand_tuned,True,False,1.0521708
smallville,9426445,16,hand_tuned,True,False,0.05056328,15,ltr_hand_tuned,True,False,0.8687367
smallville,1155509,33,hand_tuned,True,False,0.047886066,2,ltr_hand_tuned,True,False,1.0521708
smallville,5727939,34,hand_tuned,True,False,0.047870763,1,ltr_hand_tuned,True,False,1.0521708
smallville,7276119,37,hand_tuned,True,False,0.047870066,10,ltr_hand_tuned,True,False,0.90007174
smallville,7911423,44,hand_tuned,True,False,0.047869366,16,ltr_hand_tuned,True,False,0.8687367
smallville,3224036,51,hand_tuned,True,False,0.04546057,19,ltr_hand_tuned,True,False,0.86153764
wi,1222817,179,hand_tuned,True,False,0.059333242,17,ltr_hand_tuned,True,False,1.029478
wi,1666051,234,hand_tuned,True,False,0.04643237,8,ltr_hand_tuned,True,False,1.0539895
dragonball z,8953527,229,hand_tuned,True,False,0.05127539,7,ltr_hand_tuned,True,False,0.9111219
dragonball z,8458199,283,hand_tuned,True,False,0.05126819,6,ltr_hand_tuned,True,False,0.9111219
ac,7918177,403,hand_tuned,True,False,0.032297812,9,ltr_hand_tuned,True,False,0.9952217
Alienware,2817352,51,hand_tuned,True,False,0.038698096,3,ltr_hand_tuned,True,False,1.060747
Alienware,2817246,52,hand_tuned,True,False,0.038696695,6,ltr_hand_tuned,True,False,1.0337518
Alienware,2817361,54,hand_tuned,True,False,0.037438203,4,ltr_hand_tuned,True,False,1.060747
Alienware,9755322,71,hand_tuned,True,False,3e-07,7,ltr_hand_tuned,True,False,1.029478
spider-man 3,8512175,21,hand_tuned,True,False,0.12109872,17,ltr_hand_tuned,True,False,0.96854734
#,2300417,13,hand_tuned,True,False,5.2e-06,10,ltr_hand_tuned,True,False,0.8345764
#,2244466,16,hand_tuned,True,False,3.4000002e-06,14,ltr_hand_tuned,True,False,0.8123164
#,9940655,34,hand_tuned,True,False,1.7000001e-06,11,ltr_hand_tuned,True,False,0.8345764
#,8234118,38,hand_tuned,True,False,1.7000001e-06,17,ltr_hand_tuned,True,False,0.8099264
wireless speaker,1211757,54,hand_tuned,True,False,0.074425295,14,ltr_hand_tuned,True,False,0.9907007
wireless speaker,3219052,72,hand_tuned,True,False,0.06556862,4,ltr_hand_tuned,True,False,1.1037263
xbox live,1775042,75,hand_tuned,True,False,0.05384189,6,ltr_hand_tuned,True,False,1.0694125
ipod,9225377,3,hand_tuned,True,False,614.75726,1,ltr_hand_tuned,True,False,1.4305251
ipod,9225411,8,hand_tuned,True,False,440.72937,4,ltr_hand_tuned,True,False,1.1796427
ipod,1161725,18,hand_tuned,True,False,324.48642,15,ltr_hand_tuned,True,False,0.93454117
ipod,2989098,137,hand_tuned,True,False,11.143029,18,ltr_hand_tuned,True,False,0.9265176
ipod,1945531,323,hand_tuned,True,False,0.0890248,2,ltr_hand_tuned,True,False,1.2841371
ipod,2339322,326,hand_tuned,True,False,0.08268858,11,ltr_hand_tuned,True,False,0.99836147
camera cases,9808518,316,hand_tuned,True,False,0.0079628015,9,ltr_hand_tuned,True,False,1.0521708
camera cases,9899679,323,hand_tuned,True,False,0.007952002,1,ltr_hand_tuned,True,False,1.1387835
sling box,9004258,19,hand_tuned,True,False,0.0005853473,3,ltr_hand_tuned,True,False,0.9966414
sling box,8548832,21,hand_tuned,True,False,6.351457e-05,2,ltr_hand_tuned,True,False,0.9966414
casio,8885655,73,hand_tuned,True,False,0.050863437,10,ltr_hand_tuned,True,False,1.0038078
casio,2330233,102,hand_tuned,True,False,0.04764688,2,ltr_hand_tuned,True,False,1.0890021
apple tv,9225377,7,hand_tuned,True,False,0.23857051,2,ltr_hand_tuned,True,False,1.2432644
apple tv,1331156,67,hand_tuned,True,False,0.067059204,4,ltr_hand_tuned,True,False,1.2369472
Bluetooth headphones,1326039,2,hand_tuned,True,False,414.88388,1,ltr_hand_tuned,True,False,1.3672135
iPod speaker,2205043,472,hand_tuned,True,False,0.0014130669,18,ltr_hand_tuned,True,False,0.9602823
iphone 4s,3566948,76,hand_tuned,True,False,0.074532785,15,ltr_hand_tuned,True,False,0.9718886
iphone 4s,3487675,82,hand_tuned,True,False,0.07081179,6,ltr_hand_tuned,True,False,1.0186383
iphone 4s,3487693,83,hand_tuned,True,False,0.07070954,7,ltr_hand_tuned,True,False,1.0186383
iphone 4s,3812927,84,hand_tuned,True,False,0.07070942,11,ltr_hand_tuned,True,False,1.013862
iphone 4s,3562493,86,hand_tuned,True,False,0.07070895,8,ltr_hand_tuned,True,False,1.0186383
iphone 4s,3562475,87,hand_tuned,True,False,0.0707089,10,ltr_hand_tuned,True,False,1.013862
nintendo,1824267,20,hand_tuned,True,False,281.06848,13,ltr_hand_tuned,True,False,0.9998107
nintendo,1988047,51,hand_tuned,True,False,42.58093,17,ltr_hand_tuned,True,False,0.9916392
dsl modems,9387086,56,hand_tuned,True,False,0.015835231,17,ltr_hand_tuned,True,False,0.96854734
dsl modems,9414671,60,hand_tuned,True,False,0.0140217105,3,ltr_hand_tuned,True,False,1.0663364
Fast 5,3142315,196,hand_tuned,True,False,4.084018e-05,1,ltr_hand_tuned,True,False,1.1250637
Fast 5,3142157,204,hand_tuned,True,False,2.211736e-05,5,ltr_hand_tuned,True,False,0.9812756
Electric shaver,1230176,20,hand_tuned,True,False,0.006617748,7,ltr_hand_tuned,True,False,0.9661485
god of war,8708883,7,hand_tuned,True,False,0.122557536,2,ltr_hand_tuned,True,False,1.1061724
god of war,9201106,9,hand_tuned,True,False,0.08724348,1,ltr_hand_tuned,True,False,1.2636213
god of war,3294752,13,hand_tuned,True,False,0.07886323,9,ltr_hand_tuned,True,False,0.98098385
god of war,9574427,19,hand_tuned,True,False,0.07442777,3,ltr_hand_tuned,True,False,1.1014464
Playstation,3061302,2,hand_tuned,True,False,717.2208,1,ltr_hand_tuned,True,False,1.217599
Playstation,2173056,92,hand_tuned,True,False,1.1505096,5,ltr_hand_tuned,True,False,1.0796913
kvm,9694463,7,hand_tuned,True,False,0.06604135,2,ltr_hand_tuned,True,False,1.0657042
kvm,9246997,8,hand_tuned,True,False,0.06603798,7,ltr_hand_tuned,True,False,0.9293684
kvm,9837468,16,hand_tuned,True,False,0.055276617,8,ltr_hand_tuned,True,False,0.916101
kvm,9593674,17,hand_tuned,True,False,0.055271022,11,ltr_hand_tuned,True,False,0.9025547
kvm,5272126,20,hand_tuned,True,False,0.0522362,9,ltr_hand_tuned,True,False,0.91558284
Mac,1303083,3,hand_tuned,True,False,753.62775,2,ltr_hand_tuned,True,False,1.1073661
Mac,2658077,9,hand_tuned,True,False,445.60226,6,ltr_hand_tuned,True,False,1.029478
Mac,9135946,18,hand_tuned,True,False,162.60258,1,ltr_hand_tuned,True,False,1.2003853
Mac,9466151,324,hand_tuned,True,False,0.05194864,4,ltr_hand_tuned,True,False,1.0368311
bon jovi,1363876,11,hand_tuned,True,False,0.12249131,1,ltr_hand_tuned,True,False,1.0662546
