query,sku,rank_ht,type_ht,found_ht,new_ht,score_ht,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
USB to hdmi converter,8657982,264,hand_tuned,True,False,1.0503277e-05,22,ltr_hand_tuned,True,False,0.9333189
iPod touch,9225377,2,hand_tuned,True,False,2338.7659,1,ltr_hand_tuned,True,False,1.3846614
iPod touch,9225411,3,hand_tuned,True,False,1677.7427,2,ltr_hand_tuned,True,False,1.3846614
iPod touch,9225439,49,hand_tuned,True,False,3.0887716,9,ltr_hand_tuned,True,False,1.1606631
iPod touch,3109357,63,hand_tuned,True,False,1.0099411,32,ltr_hand_tuned,True,False,0.94934756
iPod touch,9899697,79,hand_tuned,True,False,0.12780228,29,ltr_hand_tuned,True,False,0.9624938
iPod touch,9530224,154,hand_tuned,True,False,0.10866741,126,ltr_hand_tuned,True,False,0.8901819
iPod touch,3559357,235,hand_tuned,True,False,0.10227192,31,ltr_hand_tuned,True,False,0.9510922
iPod touch,2642419,236,hand_tuned,True,False,0.101739824,152,ltr_hand_tuned,True,False,0.8401034
iPod touch,8771885,369,hand_tuned,True,False,0.096800774,10,ltr_hand_tuned,True,False,1.11072
iPod touch,8771732,379,hand_tuned,True,False,0.096799776,5,ltr_hand_tuned,True,False,1.2769927
iPod touch,1207809,419,hand_tuned,True,False,0.09679965,33,ltr_hand_tuned,True,False,0.94819236
iPod touch,9999165700050029,423,hand_tuned,True,False,0.09679945,302,ltr_hand_tuned,True,False,0.7433616
iPod touch,2212089,460,hand_tuned,True,False,0.09679935,215,ltr_hand_tuned,True,False,0.8033643
smallville,3224045,15,hand_tuned,True,False,0.050574876,3,ltr_hand_tuned,True,False,1.0521708
smallville,9426445,16,hand_tuned,True,False,0.05056328,15,ltr_hand_tuned,True,False,0.8687367
smallville,1155509,33,hand_tuned,True,False,0.047886066,2,ltr_hand_tuned,True,False,1.0521708
smallville,5727939,34,hand_tuned,True,False,0.047870763,1,ltr_hand_tuned,True,False,1.0521708
smallville,7276119,37,hand_tuned,True,False,0.047870066,10,ltr_hand_tuned,True,False,0.90007174
