query,sku,rank_simple,type_simple,found_simple,new_simple,score_simple,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
USB to hdmi converter,8657982,24,simple,True,False,0.10503277,17,ltr_simple,True,False,0.9333189
iPod touch,2642419,212,simple,True,False,1017.2519,137,ltr_simple,True,False,0.8401034
iPod touch,3559357,280,simple,True,False,1017.2477,23,ltr_simple,True,False,0.9510922
iPod touch,8771885,293,simple,True,False,968.00775,5,ltr_simple,True,False,1.11072
iPod touch,8771732,302,simple,True,False,967.99774,1,ltr_simple,True,False,1.2769927
iPod touch,1207809,342,simple,True,False,967.9965,24,ltr_simple,True,False,0.94819236
iPod touch,9999165700050029,347,simple,True,False,967.9945,269,ltr_simple,True,False,0.7433616
iPod touch,2212089,384,simple,True,False,967.9935,192,ltr_simple,True,False,0.8033643
iPod touch,1543219,480,simple,True,False,967.9935,371,ltr_simple,True,False,0.7228852
iPod touch,3459394,493,simple,True,False,967.9935,185,ltr_simple,True,False,0.80860054
smallville,3224045,15,simple,True,False,505.74878,3,ltr_simple,True,False,1.0521708
smallville,9426445,16,simple,True,False,505.63278,15,ltr_simple,True,False,0.8687367
smallville,1155509,33,simple,True,False,478.86066,2,ltr_simple,True,False,1.0521708
smallville,5727939,34,simple,True,False,478.70764,1,ltr_simple,True,False,1.0521708
smallville,7276119,37,simple,True,False,478.70065,10,ltr_simple,True,False,0.90007174
smallville,7911423,44,simple,True,False,478.69366,16,ltr_simple,True,False,0.8687367
smallville,3224036,51,simple,True,False,454.6057,19,ltr_simple,True,False,0.86153764
smallville,1217833,95,simple,True,False,0.007,92,ltr_simple,True,False,0.6926199
zonealarm,3116296,29,simple,True,False,0.019,20,ltr_simple,True,False,0.8099264
zonealarm,3140362,34,simple,True,False,0.019,23,ltr_simple,True,False,0.79692453
wi,1666051,54,simple,True,False,464.32367,6,ltr_simple,True,False,1.0539895
wi,2003047,63,simple,True,False,436.72705,16,ltr_simple,True,False,0.97636056
wi,2004046,93,simple,True,False,412.22272,12,ltr_simple,True,False,1.0129181
wi,2329467,104,simple,True,False,412.21872,25,ltr_simple,True,False,0.963182
wi,1666042,129,simple,True,False,392.30502,22,ltr_simple,True,False,0.9729362
wi,1945531,135,simple,True,False,390.3491,3,ltr_simple,True,False,1.1151695
wi,2339322,136,simple,True,False,390.33508,77,ltr_simple,True,False,0.86660314
wi,1151558,137,simple,True,False,390.33508,69,ltr_simple,True,False,0.8829429
wi,1997349,313,simple,True,False,310.2234,106,ltr_simple,True,False,0.83644426
dvd case,3147037,236,simple,True,False,23.347866,14,ltr_simple,True,False,0.804631
dvd case,9480082,344,simple,True,False,17.628384,11,ltr_simple,True,False,0.80480623
dvd case,9505234,360,simple,True,False,16.844048,22,ltr_simple,True,False,0.76633877
dvd case,5878963,391,simple,True,False,14.180398,8,ltr_simple,True,False,0.8099264
dvd case,7601437,392,simple,True,False,14.170398,9,ltr_simple,True,False,0.8099264
dvd case,1791231,394,simple,True,False,14.148398,250,ltr_simple,True,False,0.7441004
dvd case,8203393,437,simple,True,False,12.152154,7,ltr_simple,True,False,0.8099264
dvd case,7601543,438,simple,True,False,12.109154,246,ltr_simple,True,False,0.7441004
dvd case,7506326,450,simple,True,False,11.068998,15,ltr_simple,True,False,0.80336857
dvd case,7506335,455,simple,True,False,11.035998,23,ltr_simple,True,False,0.76633877
dvd case,1732115,496,simple,True,False,5.9937677,13,ltr_simple,True,False,0.804631
dragonball z,8953527,229,simple,True,False,512.7539,7,ltr_simple,True,False,0.9111219
dragonball z,8458199,283,simple,True,False,512.6819,6,ltr_simple,True,False,0.9111219
lcd tv,2363655,456,simple,True,False,35.71293,167,ltr_simple,True,False,0.81173843
lcd tv,1825196,474,simple,True,False,34.583645,427,ltr_simple,True,False,0.70602524
lcd tv,2072076,484,simple,True,False,34.222878,206,ltr_simple,True,False,0.7878545
ac,7918177,61,simple,True,False,322.97812,1,ltr_simple,True,False,0.9952217
ac,2514233,359,simple,True,False,280.33945,38,ltr_simple,True,False,0.81356114
Alienware,2817352,51,simple,True,False,386.98096,3,ltr_simple,True,False,1.060747
Alienware,2817246,52,simple,True,False,386.96695,6,ltr_simple,True,False,1.0337518
Alienware,2817361,54,simple,True,False,374.38202,4,ltr_simple,True,False,1.060747
Alienware,1535918,62,simple,True,False,0.017,48,ltr_simple,True,False,0.80819863
Alienware,2712579,64,simple,True,False,0.009,33,ltr_simple,True,False,0.8345764
Alienware,2817237,66,simple,True,False,0.006,45,ltr_simple,True,False,0.80819863
Alienware,9755322,69,simple,True,False,0.003,7,ltr_simple,True,False,1.029478
Alienware,1805687,95,simple,True,False,0.003,74,ltr_simple,True,False,0.76616657
spider-man 3,8512175,20,simple,True,False,1210.9872,14,ltr_simple,True,False,0.96854734
spider-man 3,8501828,25,simple,True,False,1081.2688,21,ltr_simple,True,False,0.9491057
spider-man 3,3071287,48,simple,True,False,70.19663,26,ltr_simple,True,False,0.9108915
software,18189158,136,simple,True,False,436.6027,106,ltr_simple,True,False,0.7701187
software,9639608,211,simple,True,False,390.20108,142,ltr_simple,True,False,0.76532114
software,9325884,364,simple,True,False,284.43555,109,ltr_simple,True,False,0.76616657
wireless speaker,3219052,10,simple,True,False,655.6862,2,ltr_simple,True,False,1.1037263
wireless speaker,2989098,41,simple,True,False,486.92563,1,ltr_simple,True,False,1.2594359
wireless speaker,2073109,107,simple,True,False,39.986332,19,ltr_simple,True,False,0.95598924
wireless speaker,2138316,127,simple,True,False,32.257767,23,ltr_simple,True,False,0.9220868
wireless speaker,1407325,434,simple,True,False,0.0654838,28,ltr_simple,True,False,0.90974045
xbox live,1272086,29,simple,True,False,538.4595,2,ltr_simple,True,False,1.1008273
xbox live,1775042,30,simple,True,False,538.4065,5,ltr_simple,True,False,1.0694125
xbox live,1272483,31,simple,True,False,538.39246,3,ltr_simple,True,False,1.1008273
xbox live,8508572,121,simple,True,False,47.153824,32,ltr_simple,True,False,0.94942224
xbox live,1219686,207,simple,True,False,29.395094,22,ltr_simple,True,False,0.98024446
xbox live,1162184,352,simple,True,False,18.756472,80,ltr_simple,True,False,0.8503898
ipod,8771929,387,simple,True,False,293.3937,1,ltr_simple,True,False,1.1294594
camera cases,9808518,88,simple,True,False,79.62801,8,ltr_simple,True,False,1.0521708
camera cases,9899679,97,simple,True,False,79.52002,1,ltr_simple,True,False,1.1387835
sling box,2070351,132,simple,True,False,0.0708321,20,ltr_simple,True,False,0.8296756
casio,8885655,56,simple,True,False,508.63437,10,ltr_simple,True,False,1.0038078
casio,2330233,87,simple,True,False,476.4688,2,ltr_simple,True,False,1.0890021
casio,9820835,89,simple,True,False,476.4458,36,ltr_simple,True,False,0.9076542
casio,2449196,102,simple,True,False,476.44318,94,ltr_simple,True,False,0.84224623
casio,3106623,153,simple,True,False,448.1245,136,ltr_simple,True,False,0.81356114
casio,2449114,183,simple,True,False,448.1212,54,ltr_simple,True,False,0.8809011
casio,3106086,189,simple,True,False,448.11652,127,ltr_simple,True,False,0.81356114
casio,3106705,190,simple,True,False,448.11652,128,ltr_simple,True,False,0.81356114
casio,3106517,194,simple,True,False,448.11652,133,ltr_simple,True,False,0.81356114
casio,3106129,198,simple,True,False,448.11652,107,ltr_simple,True,False,0.8351046
casio,3106192,200,simple,True,False,448.11652,139,ltr_simple,True,False,0.81356114
casio,3106217,201,simple,True,False,448.11652,108,ltr_simple,True,False,0.8351046
casio,3106235,202,simple,True,False,448.11652,140,ltr_simple,True,False,0.81356114
casio,2715503,203,simple,True,False,425.70572,172,ltr_simple,True,False,0.7701187
casio,9344916,209,simple,True,False,422.97754,113,ltr_simple,True,False,0.82677805
casio,3106156,220,simple,True,False,422.97342,162,ltr_simple,True,False,0.7887212
casio,2134037,233,simple,True,False,402.32788,68,ltr_simple,True,False,0.86153764
apple tv,1331156,4,simple,True,False,670.59204,3,ltr_simple,True,False,1.2369472
apple tv,9225377,64,simple,True,False,0.09009074,2,ltr_simple,True,False,1.2432644
apple tv,1257136,65,simple,True,False,0.08845833,14,ltr_simple,True,False,0.93760115
