query,sku,rank_simple,type_simple,found_simple,new_simple,score_simple,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
USB to hdmi converter,2731344,1,simple,True,False,106.32615,126,ltr_simple,True,False,0.76515156
iPod touch,9899697,1,simple,True,False,1277.9524,21,ltr_simple,True,False,0.9624938
iPod touch,1658265,28,simple,True,False,1132.6636,198,ltr_simple,True,False,0.7882971
iPod touch,2670081,30,simple,True,False,1132.6626,195,ltr_simple,True,False,0.7988268
iPod touch,3559541,63,simple,True,False,1132.6573,419,ltr_simple,True,False,0.69833213
iPod touch,3460035,71,simple,True,False,1132.6573,499,ltr_simple,True,False,0.5884292
iPod touch,1404106,76,simple,True,False,1132.6573,465,ltr_simple,True,False,0.69833213
iPod touch,9530224,77,simple,True,False,1086.6741,116,ltr_simple,True,False,0.8901819
iPod touch,1377123,107,simple,True,False,1071.8347,218,ltr_simple,True,False,0.77465534
iPod touch,1328189,127,simple,True,False,1071.8308,273,ltr_simple,True,False,0.7351945
iPod touch,1328383,130,simple,True,False,1071.8297,407,ltr_simple,True,False,0.7200053
iPod touch,9899706,135,simple,True,False,1071.8297,333,ltr_simple,True,False,0.7228852
iPod touch,1207936,346,simple,True,False,967.9945,411,ltr_simple,True,False,0.7102725
smallville,13863562,1,simple,True,False,832.569,11,ltr_simple,True,False,0.88742304
smallville,7504701,4,simple,True,False,569.5212,9,ltr_simple,True,False,0.9025547
smallville,5319078,10,simple,True,False,535.68506,26,ltr_simple,True,False,0.84224623
smallville,3224054,11,simple,True,False,535.65607,27,ltr_simple,True,False,0.84224623
smallville,8955473,17,simple,True,False,505.6248,18,ltr_simple,True,False,0.8687367
zonealarm,1256446,21,simple,True,False,0.037,31,ltr_simple,True,False,0.7557279
zonealarm,9506652,23,simple,True,False,0.019,32,ltr_simple,True,False,0.71666735
wi,18807979,6,simple,True,False,542.04315,28,ltr_simple,True,False,0.9547766
wi,1438149,26,simple,True,False,495.64896,60,ltr_simple,True,False,0.88934064
wi,7028539,80,simple,True,False,415.23135,192,ltr_simple,True,False,0.7701187
dvd case,9216742,20,simple,True,False,213.28123,352,ltr_simple,True,False,0.73134077
dvd case,6621863,80,simple,True,False,33.34072,232,ltr_simple,True,False,0.74815965
dvd case,7876738,136,simple,True,False,28.83724,367,ltr_simple,True,False,0.73134077
dvd case,5662106,188,simple,True,False,25.659113,277,ltr_simple,True,False,0.73134077
dragonball z,8776434,13,simple,True,False,790.66895,156,ltr_simple,True,False,0.88742304
dragonball z,6002434,15,simple,True,False,746.64624,123,ltr_simple,True,False,0.88742304
dragonball z,6002416,17,simple,True,False,746.6322,122,ltr_simple,True,False,0.88742304
dragonball z,6758895,37,simple,True,False,671.1024,318,ltr_simple,True,False,0.82667446
dragonball z,9308055,141,simple,True,False,550.07684,299,ltr_simple,True,False,0.8843493
dragonball z,9160962,228,simple,True,False,512.8409,301,ltr_simple,True,False,0.8843493
ac,7045805,51,simple,True,False,341.9093,61,ltr_simple,True,False,0.8098346
ac,9355743,146,simple,True,False,300.11566,500,ltr_simple,True,False,0.6613117
ac,2663167,159,simple,True,False,298.96814,170,ltr_simple,True,False,0.76532114
Alienware,1407228,14,simple,True,False,539.99164,27,ltr_simple,True,False,0.8545424
Alienware,3655632,22,simple,True,False,484.6921,29,ltr_simple,True,False,0.84224623
Alienware,3612116,48,simple,True,False,416.25104,92,ltr_simple,True,False,0.7260541
spider-man 3,16726054,22,simple,True,False,1209.7483,47,ltr_simple,True,False,0.88742304
spider-man 3,9237202,37,simple,True,False,506.29828,129,ltr_simple,True,False,0.74489707
spider-man 3,3078086,80,simple,True,False,16.428158,391,ltr_simple,True,False,0.69833213
software,18189167,50,simple,True,False,495.77457,84,ltr_simple,True,False,0.7874693
software,2327584,137,simple,True,False,436.59814,393,ltr_simple,True,False,0.71942544
software,9611393,203,simple,True,False,391.85333,388,ltr_simple,True,False,0.7286438
wireless speaker,1211757,3,simple,True,False,744.2529,7,ltr_simple,True,False,0.9907007
wireless speaker,2968053,8,simple,True,False,697.1336,73,ltr_simple,True,False,0.82667446
wireless speaker,2053402,98,simple,True,False,63.43263,270,ltr_simple,True,False,0.7399627
wireless speaker,9825206,294,simple,True,False,0.09690151,445,ltr_simple,True,False,0.71666735
Sony cyber-shot dsc-tx10,2255038,45,simple,True,True,24.120102,92,ltr_simple,True,True,0.88907236
xbox live,1272605,12,simple,True,False,610.89386,140,ltr_simple,True,False,0.77600867
xbox live,1272271,16,simple,True,False,610.8749,139,ltr_simple,True,False,0.77600867
xbox live,3118203,42,simple,True,False,481.0811,74,ltr_simple,True,False,0.86149484
xbox live,1401794,57,simple,True,False,396.76227,70,ltr_simple,True,False,0.86922365
ipod,8033629,108,simple,True,False,328.20425,479,ltr_simple,True,False,0.66286457
ipod,2613093,109,simple,True,False,328.20325,482,ltr_simple,True,False,0.6345517
ipod,9899697,114,simple,True,False,328.20224,467,ltr_simple,True,False,0.67490625
ipod,9084206,164,simple,True,False,328.20032,438,ltr_simple,True,False,0.6870135
ipod,8189042,171,simple,True,False,328.1993,262,ltr_simple,True,False,0.71608233
ipod,15198992,194,simple,True,False,309.7913,313,ltr_simple,True,False,0.7118939
ipod,1658265,389,simple,True,False,293.3327,462,ltr_simple,True,False,0.67612314
camera cases,9773712,36,simple,True,False,91.35716,40,ltr_simple,True,False,0.93244886
casio,17007828,4,simple,True,False,637.6491,70,ltr_simple,True,False,0.86112213
casio,9468453,8,simple,True,False,637.6331,72,ltr_simple,True,False,0.86112213
casio,9939878,16,simple,True,False,637.6331,77,ltr_simple,True,False,0.86112213
casio,1558044,27,simple,True,False,587.9059,46,ltr_simple,True,False,0.8843493
casio,3395221,44,simple,True,False,545.3737,88,ltr_simple,True,False,0.84242386
casio,8791042,45,simple,True,False,545.3737,93,ltr_simple,True,False,0.84224623
casio,3106138,57,simple,True,False,508.58838,87,ltr_simple,True,False,0.84458286
casio,3106226,71,simple,True,False,508.58038,496,ltr_simple,True,False,0.67732644
casio,9820826,88,simple,True,False,476.4458,294,ltr_simple,True,False,0.7560249
casio,3106687,110,simple,True,False,476.4378,194,ltr_simple,True,False,0.7701187
casio,3106723,226,simple,True,False,422.97342,254,ltr_simple,True,False,0.76532114
casio,8021936,327,simple,True,False,52.000523,468,ltr_simple,True,False,0.71666735
Sony vaio 13,3519978,1,simple,True,False,55.38832,49,ltr_simple,True,False,0.9333189
apple tv,1074778,2,simple,True,False,836.8832,20,ltr_simple,True,False,0.8978459
apple tv,2965074,6,simple,True,False,35.734787,45,ltr_simple,True,False,0.83767015
apple tv,8791319,14,simple,True,False,29.584263,32,ltr_simple,True,False,0.8674004
apple tv,15179977,83,simple,True,False,0.07217509,188,ltr_simple,True,False,0.73134077
Bluetooth headphones,1535284,4,simple,True,False,860.47095,68,ltr_simple,True,False,0.88742304
Bluetooth headphones,3724696,5,simple,True,False,860.44794,69,ltr_simple,True,False,0.88742304
Bluetooth headphones,9740214,33,simple,True,False,50.633495,122,ltr_simple,True,False,0.8414646
