query,sku,score,clause_0,clause_1,clause_2,clause_3,clause_4,Feature 0(name_match),Feature 1(name_match_phrase),Feature 2(customerReviewAverage),Feature 3(customerReviewCount),Feature 4(artistName_match_phrase),Feature 5(shortDescription_match_phrase),Feature 6(longDescription_match_phrase),Feature 7(salesRankShortTerm),Feature 8(sku_terms),clause_5,clause_6
USB to hdmi converter,2731344,106.708725,0.15102941,86.84723,18.827892,0.5,0.38257578,15.102941,0.0,1.0,1.0,0.0,0.0,17.369446,0.0,0.0,0.0,0
iPod touch,9899697,1278.4336,0.09815296,1048.5645,209.7129,19.572823,0.004,9.815296,6.0219574,5.0,3.0,0.0,8.008602,8.605209,0.42954272,0.0,0.4812469,0
iPod touch,1658265,1133.0577,0.09217438,929.2311,185.84619,17.493137,0.001,9.217439,5.5780106,5.0,1.0,0.0,8.272112,9.312463,0.0,0.0,0.39414856,0
iPod touch,2670081,1133.062,0.09217438,929.2311,185.84619,17.493137,0.3994134,9.217439,5.5780106,3.9,7.0,0.0,4.804366,8.392741,0.8895078,0.0,0.0,0
iPod touch,3559541,1133.0065,0.08688229,929.2311,185.84619,17.493137,0.34916607,8.68823,5.1950264,2.0,1.0,0.0,4.3101625,7.9048047,7.2292155e-12,0.0,0.0,0
iPod touch,3460035,1132.9515,0.08688229,929.2311,185.84619,17.493137,0.2942146,8.68823,5.1950264,5.0,8.0,0.0,8.272112,7.9048047,0.9363517,0.0,0.0,0
iPod touch,1404106,1133.0065,0.08688229,929.2311,185.84619,17.493137,0.34916607,8.68823,5.1950264,0.0,0.0,0.0,8.553555,9.064138,0.0,0.0,0.0,0
iPod touch,9530224,1087.1191,0.09217438,879.28076,190.68343,16.610664,0.007,9.217439,5.5780106,4.0,56.0,0.0,8.000523,7.9048047,0.021011496,0.0,0.44509095,0
iPod touch,1377123,1072.222,0.08216492,879.28076,175.85617,16.610664,0.005,8.216492,4.8612537,2.1,26.0,0.0,7.310013,7.389288,0.0,0.0,0.38732767,0
iPod touch,1328189,1072.1984,0.08216492,879.28076,175.85617,16.610664,0.001,8.216492,4.8612537,3.1,9.0,0.0,8.008602,5.806567,0.0,0.0,0.36759725,0
