,query,sku,clicks,rank,num_impressions,doc_id,category,product_name,query_id,name_match,name_match_phrase,customerReviewAverage,customerReviewCount,shortDescription_match_phrase,longDescription_match_phrase,salesRankShortTerm,salesRankLongTerm,click_prior,name_hyphens,sku_term,category_id_match,grade
7006,laptop,2738738,124,4.0,2126,2738738,abcat0706002,fake,2513,0.0,0.0,3.9,117.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.9
6602,iPod,9225439,34,5.0,993,9225439,abcat0106004,fake,2382,3.63972,3.63972,4.5,186.0,0.0,5.7421355,0.8127182,0.001104833,0.005,9.978646,0.0,0.0,0.6
8869,usb hard drive,1251981,10,1.0,74,1251981,pcmcat209000050008,fake,3196,9.458181,2.922409,4.0,109.0,0.0,0.0,0.14406574,1.1884237e-24,0.135,9.41738,0.0,0.0,0.1
708,Bose,9498386,57,8.0,1584,9498386,pcmcat156400050037,fake,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2678,Mini fridge,9723536,26,2.0,160,9723536,pcmcat231700050017,fake,971,0.0,0.0,4.4,10.0,0.0,0.0,0.8998315,8.175163e-06,0.033,0.0,0.0,0.0,0.7
7554,noise cancelling headphones,8964855,10,1.0,25,8964855,abcat0302013,fake,2710,23.930069,23.930069,3.2,240.0,0.0,17.893574,0.9811951,0.5561708,0.4,15.213012,0.0,0.0,0.2
1807,Hp Touchpad,2842056,26,1.0,52,2842056,abcat0912025,fake,685,15.687536,15.687536,4.1,131.0,0.0,14.310463,0.0,0.0,0.25,14.044498,0.0,0.0,0.7
5321,cameras,2061077,16,3.0,364,2061077,pcmcat214700050000,fake,1914,3.801496,3.801496,4.6,104.0,0.0,2.964881,0.0,0.0,0.007,0.0,0.0,0.0,0.4
1714,Headphones,1114791,32,10.0,1651,1114791,pcmcat209000050007,fake,666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
6608,iPod cases,2237282,20,1.0,123,2237282,pcmcat171900050028,fake,2386,6.273319,0.0,4.5,54.0,0.0,0.0,0.9700586,0.29996705,0.163,0.0,0.0,0.0,0.6
792,Camera,9456803,20,4.0,506,9456803,abcat0101001,fake,296,4.048067,4.048067,4.8,245.0,0.0,2.8989966,0.0,0.0,0.003,3.9978185,0.0,0.0,0.4
1335,External hard drive,9693904,11,15.0,681,9693904,pcmcat162100050040,fake,507,12.812121,5.463997,4.3,92.0,0.0,0.0,0.0,0.0,0.001,12.843385,0.0,0.0,0.0
1511,Ghost adventures,19411603,12,1.0,30,19411603,abcat0902002,fake,586,10.954639,10.954638,0.0,0.0,0.0,0.0,0.0,0.0,0.4,12.48762,0.0,0.0,0.3
2475,Mac,2658077,113,3.0,1522,2658077,abcat0513004,fake,906,0.0,0.0,4.8,307.0,0.0,0.0,0.99328345,0.83679783,0.004,4.55025,0.0,0.0,0.9
8081,samsung epic,1168955,17,1.0,38,1168955,abcat0302013,fake,2914,13.213263,13.213263,4.4,209.0,0.0,0.0,0.00047457666,0.0,0.447,13.392549,0.0,0.0,0.6
5010,asus tablet,2663006,17,3.0,176,2663006,cat02015,fake,1813,8.052205,0.0,4.3,94.0,3.8458233,6.7951736,0.034195058,0.0,0.032,0.0,0.0,0.0,0.5
5414,carter,3143987,11,1.0,27,3143987,pcmcat170900050018,fake,1943,7.4306517,7.4306517,4.1,7.0,0.0,0.0,0.0,0.0,0.407,8.057286,0.0,0.0,0.3
6091,google tv,1282387,28,6.0,596,1282387,pcmcat209000050008,fake,2234,12.3496275,12.349627,4.2,156.0,0.0,11.272085,4.6892133e-24,0.0,0.006,12.188728,0.0,0.0,0.6
5423,casio,2134037,11,3.0,129,2134037,pcmcat156300050013,fake,1947,6.737955,6.737955,4.5,14.0,0.0,0.0,0.0,0.0,0.028,6.5646267,0.0,0.0,0.2
7460,ncis,2965117,33,1.0,88,2965117,pcmcat247400050000,fake,2670,7.3340855,7.3340855,4.8,6.0,0.0,0.0,0.36677524,4.9929305e-30,0.375,7.297015,0.0,0.0,0.8
1229,Dsl,2836657,10,2.0,77,2836657,abcat0515022,fake,468,0.0,0.0,4.4,112.0,0.0,0.0,0.9994611,0.9828451,0.065,0.0,0.0,0.0,0.1
6662,ico,8054963,10,2.0,197,8054963,abcat0907006,fake,2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1552,Gophone,9836584,12,1.0,56,9836584,pcmcat186400050004,fake,604,8.452609,8.452609,2.9,72.0,0.0,0.0,3.0805197e-05,0.0,0.214,7.8197346,0.0,0.0,0.3
8310,sony headphones,2204196,21,2.0,194,2204196,pcmcat209000050008,fake,3001,11.909876,4.5431156,4.1,110.0,0.0,0.0,0.999646,0.9928144,0.022,11.887201,0.0,0.0,0.6
2356,Laptops,2930088,10,33.0,2607,2930088,pcmcat50300050014,fake,863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5252,bose speakers,2683194,11,1.0,98,2683194,pcmcat180400050000,fake,1885,10.506466,2.408598,4.5,17.0,0.0,0.0,0.44949567,2.456801e-10,0.112,0.0,0.0,0.0,0.2
7857,projector screens,9809492,14,1.0,85,9809492,abcat0503013,fake,2831,7.9924135,0.0,4.0,48.0,0.0,5.1501675,0.0028975597,0.0,0.082,0.0,0.0,0.0,0.4
9010,western digital,9945474,20,1.0,163,9945474,pcmcat182300050007,fake,3246,8.822431,8.82243,3.8,63.0,0.0,0.0,0.0,0.0,0.025,9.811952,0.0,0.0,0.6
